project_name,project_type,pct_complete,project_budget,project_start,construction_start,project_completion,project_page,project_budget_error_flag,project_status
F. L. Stanton Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/f-l-stanton-elementary-school/,FALSE,Completed
Fair Drive,Roadways,,557905.0,2016-07-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/fair-drive/,FALSE,Not Started
Fair Street,Roadways,,,,,,http://renewatlantabond.com/project/fair-street/,TRUE,Not Started
East Court Drive,Roadways,1.0,45145.0,2016-07-01,2016-07-01,2017-02-01,http://renewatlantabond.com/project/fairburn-road-2/,FALSE,Completed
Fairburn Road NW,Roadways,0.9500000000000001,170075.0,2016-04-01,2016-05-01,2017-02-01,http://renewatlantabond.com/project/fairburn-road-nw/,FALSE,In Process
Fairburn Road Complete Street Project,Complete Streets,,4958562.0,2015-09-01,2018-06-01,2019-11-01,http://renewatlantabond.com/project/fairburn-road/,FALSE,Not Started
Fairburn Road,Roadways,,162875.0,2016-07-01,2017-09-01,2017-12-01,http://renewatlantabond.com/project/fairway-circle/,FALSE,Not Started
Falling Waters,,,,,,,http://renewatlantabond.com/project/falling-waters/,TRUE,Not Started
Federal Terrace,Roadways,0.98,77245.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/federal-terrace/,FALSE,In Process
Fickett Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/fickett-elementary-school/,FALSE,Completed
Five Points Monument,Public Art Program,,1e5,2015-03-01,2015-03-01,2017-07-01,http://renewatlantabond.com/project/five-points-monument/,FALSE,Not Started
Fleetwood Circle,Roadways,0.99,,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/fleetwood-circle/,TRUE,In Process
Fire Station 11,Public Safety,0.1,177906.0,2015-09-01,2016-04-01,2017-09-01,http://renewatlantabond.com/project/flooring-paint-and-correct-exterior-conditions-of-the-soffits/,FALSE,In Process
Ford Street,Roadways,,121e4,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/ford-street-roadway-construction/,FALSE,Not Started
Forest Crossing Drive,Roadways,,47500.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/forest-crossing-drive/,FALSE,Not Started
Fairway Circle,Roadways,,334835.0,2016-07-01,2017-08-01,2017-11-01,http://renewatlantabond.com/project/forest-overlook-drive/,FALSE,Not Started
Forest Overlook Drive,Roadways,,282535.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/forest-overlook-trail/,FALSE,Not Started
Forrest Hills Academy,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/forrest-hills-academy/,FALSE,Completed
Forrest Park Road,Roadways,,,,,,http://renewatlantabond.com/project/forrest-park-road/,TRUE,Not Started
Forsyth Street Complete Street Project,Complete Streets,,2259443.0,2017-07-01,2018-10-01,2019-09-01,http://renewatlantabond.com/project/forsyth-street/,FALSE,Not Started
Fort Street,Roadways,0.12,72940.87,2016-01-01,2016-01-01,2016-06-01,http://renewatlantabond.com/project/fort-street/,FALSE,In Process
Francis Avenue,Roadways,,159045.0,2016-07-01,2017-06-01,2017-09-01,http://renewatlantabond.com/project/francis-avenue/,FALSE,Not Started
Freedom Park,,,,,,,http://renewatlantabond.com/project/freedom-park/,TRUE,Not Started
Games,,,,,,,http://renewatlantabond.com/project/games/,TRUE,Not Started
Garden Hills Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/garden-hills-elementary-school-2/,FALSE,Completed
Gault Street,Roadways,0.98,113105.0,2016-05-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/gault-street/,FALSE,In Process
Gayles Court,Roadways,,40510.0,2016-07-01,2017-10-01,2017-12-01,http://renewatlantabond.com/project/gayles-court/,FALSE,Not Started
Georgia Hill Neighborhood Center,Parks and Recreation,,133490.0,2015-11-01,2015-11-01,2018-01-01,http://renewatlantabond.com/project/georgia-hill-neighborhood-center-facility/,FALSE,Not Started
Gilbert Street,Roadways,,46860.0,2016-07-01,2017-06-01,2017-08-01,http://renewatlantabond.com/project/gilbert-street/,FALSE,Not Started
Glennhurst Lane,Roadways,,26720.0,2016-07-01,2016-07-01,2017-01-01,http://renewatlantabond.com/project/glennhurst-lane/,FALSE,Not Started
Glenwood Moreland – Livable Centers Initiative Project,Traffic Signals,,,,,,http://renewatlantabond.com/project/glenwood-moreland-livable-centers-initiative-project/,TRUE,Not Started
Glenwood Road (TCC),Traffic Signals,,857142.0,2016-04-01,2017-10-01,2018-10-01,http://renewatlantabond.com/project/glenwood-road-2/,FALSE,Not Started
Goldsboro Park,,,,,,,http://renewatlantabond.com/project/goldsboro-park/,TRUE,Not Started
Henry W. Grady High School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/grady-high-school/,FALSE,Completed
Grant Park Pool,Parks and Recreation,,,,,,http://renewatlantabond.com/project/grant-park-pool/,TRUE,Not Started
Greenbriar Parkway (TCC),Traffic Signals,,546311.0,2016-04-01,2017-12-01,2018-12-01,http://renewatlantabond.com/project/greenbriar-parkway-2/,FALSE,Not Started
Greenbriar Parkway,Roadways,0.01,1036425.0,2016-01-01,2016-01-01,2016-06-01,http://renewatlantabond.com/project/greenbriar-parkway-3/,FALSE,In Process
Forest Overlook Trail,Roadways,,136800.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/guilford-forest-drive/,FALSE,Not Started
Guilford Forest Lane,Roadways,,25200.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/guilford-forest-lane-2/,FALSE,Not Started
Guilford Forest Drive,Roadways,,563200.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/guilford-forest-lane/,FALSE,Not Started
Habersham Road @ West Wesley Road,Traffic Signals,0.12,19e4,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/habersham-road-west-wesley-road-2/,FALSE,In Process
Hamden Forest Drive,Roadways,,80105.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/hamden-forest-drive/,FALSE,Not Started
Hamden Forest Trail,Roadways,,43500.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/hamden-forest-trail/,FALSE,Not Started
Hamden Trace,Roadways,,26640.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/hamden-trace/,FALSE,Not Started
Hamilton E. Holmes Drive @ Burton Road,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/hamilton-e-holmes-drive-burton-road-2/,FALSE,In Process
Hansell Street,Roadways,,91870.0,2016-07-01,2017-07-01,2017-09-01,http://renewatlantabond.com/project/hansell-streetmuse-street/,FALSE,Not Started
Hapeville Road,Roadways,0.9500000000000001,221008.36,2016-02-01,2016-02-01,2016-06-01,http://renewatlantabond.com/project/hapeville-road/,FALSE,In Process
Harbin Road,Roadways,,,,,,http://renewatlantabond.com/project/harbin-road/,TRUE,Not Started
Hard Days Shack,Public Art Program,1.0,1e4,2015-03-01,2016-05-01,2016-09-01,http://renewatlantabond.com/project/hard-days-shack/,FALSE,Completed
Hazelwood Road,Roadways,1.0,108680.0,2015-06-01,2015-08-01,2016-12-01,http://renewatlantabond.com/project/hazelwood-drive/,FALSE,Completed
Hemlock Circle,Roadways,,245995.0,2016-07-01,2017-07-01,2017-08-01,http://renewatlantabond.com/project/hemlock-circle/,FALSE,Not Started
Hemphill School Road,Roadways,,288770.0,2016-07-01,2016-07-01,2018-02-01,http://renewatlantabond.com/project/hemphill-school-road/,FALSE,Not Started
Henry Grady,Public Art Program,,65e3,2015-03-01,2015-03-01,2017-07-01,http://renewatlantabond.com/project/henry-grady/,FALSE,Not Started
Heritage Park Memorial,,,,,,,http://renewatlantabond.com/project/heratige-park-memorial/,TRUE,Not Started
Heritage Academy,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/heritage-academy/,FALSE,Completed
Hightower Road,Roadways,1.0,219775.0,2015-10-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/hightower-road/,FALSE,Completed
Hills Avenue,Roadways,,422415.0,2016-07-01,2017-09-01,2017-11-01,http://renewatlantabond.com/project/hills-avenue/,FALSE,Not Started
Hills Place,Roadways,,305050.0,2016-07-01,2017-05-01,2017-09-01,http://renewatlantabond.com/project/hills-place/,FALSE,Not Started
Hirsch Street,Roadways,,34e4,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/hirsch-street/,FALSE,Not Started
Hollow Tree Lane,Roadways,,96060.0,2016-07-01,2017-06-01,2017-09-01,http://renewatlantabond.com/project/hollow-tree-lane/,FALSE,Not Started
Hollywood Road @ Johnson Road,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/hollywood-road-johnson-road-2/,FALSE,In Process
Hope Hill Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/hope-hill-elementary-school/,FALSE,Completed
Hosea Williams Drive (TCC),Traffic Signals,,1687082.0,2016-04-01,2017-12-01,2018-11-01,http://renewatlantabond.com/project/hosea-williams-drive-2/,FALSE,Not Started
Howell Drive,Roadways,1.0,212765.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/howell-drive/,FALSE,Completed
Howell Mill Road,Roadways,0.01,395e3,2016-07-01,2017-10-01,2018-08-01,http://renewatlantabond.com/project/howell-mill-road-2/,FALSE,In Process
Howell Mill Road @ Collier Road,Traffic Signals,0.02,2e5,2016-06-01,2018-01-01,2018-12-01,http://renewatlantabond.com/project/howell-mill-road-collier-road-2/,FALSE,In Process
Howell Mill Road @ Huff Road,Traffic Signals,0.02,2e5,2016-06-01,2018-01-01,2019-01-01,http://renewatlantabond.com/project/howell-mill-road-huff-road-2/,FALSE,In Process
Howell Mill Road @ Moores Mill Road,Traffic Signals,0.12,1309873.0,2016-04-01,2018-03-01,2018-05-01,http://renewatlantabond.com/project/howell-mill-road-moores-mill-road/,FALSE,In Process
Howell Mill Road @ Peachtree Battle Avenue,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/howell-mill-road-peachtree-battle-avenue-2/,FALSE,In Process
Howell Mill Road Complete Street Project,Complete Streets,,5798210.0,2016-01-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/howell-mill-road/,FALSE,Not Started
Howell Terrace,Roadways,1.0,271135.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/howell-terrace-2/,FALSE,Completed
Huber Street,Roadways,,333575.0,2016-07-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/huber-street/,FALSE,Not Started
Huff Road,Roadways,,271235.0,2016-07-01,2017-11-01,2018-01-01,http://renewatlantabond.com/project/huff-road/,FALSE,Not Started
Humphries Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/humphries-elementary-school/,FALSE,Completed
Hutchinson Elementary,School Zone Beacons,1.0,22585.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/hutchinson-elementary/,FALSE,Completed
Fire Station 16,Public Safety,0.02,341789.08,2015-09-01,2016-03-01,2017-10-01,http://renewatlantabond.com/project/hvac-repair-window-repairs-interiorexterior-finishes/,FALSE,In Process
S.M. Inman Middle School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/inman-middle-school/,FALSE,Completed
Inman Park Neighborhood Improvements,Roadways,,5e5,2016-11-01,2017-08-01,2018-02-01,http://renewatlantabond.com/project/inman-park-neighborhood-improvements/,FALSE,Not Started
Isamu Noguchi,Public Art Program,1.0,12e3,2016-05-01,2016-05-01,2016-09-01,http://renewatlantabond.com/project/isamu-noguchi/,FALSE,Completed
Joseph E. Boone Boulevard Complete Street Project,Complete Streets,,2690842.0,2017-01-01,2018-05-01,2019-03-01,http://renewatlantabond.com/project/j-e-boone-boulevard/,FALSE,Not Started
Warren T. Jackson Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/jackson-elementary-school/,FALSE,Completed
Maynard H. Jackson High School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/jackson-high-school/,FALSE,Completed
James Drive/5th Street,Roadways,,885e3,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/james-drive-5th-street-roadway-construction/,FALSE,Not Started
"Jefferson Street, Phase 1",Roadways,1.0,120515.0,2015-10-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/jefferson-street-phase-1/,FALSE,Completed
"Jefferson Street, Phase 2",Roadways,0.9500000000000001,140010.0,2015-10-01,2016-01-01,2017-01-01,http://renewatlantabond.com/project/jefferson-street-phase-2/,FALSE,In Process
Jewel Court,Roadways,,23140.0,2016-09-01,2016-10-01,2017-04-01,http://renewatlantabond.com/project/jewel-court/,FALSE,Not Started
Jewel Drive,Roadways,0.98,28230.0,2016-04-01,2016-05-01,2017-02-01,http://renewatlantabond.com/project/jewel-drive/,FALSE,In Process
John Portman Boulevard (Harris Street),Roadways,0.99,189890.0,2016-10-01,2016-12-01,,http://renewatlantabond.com/project/john-portman-boulevard-harris-street/,FALSE,In Process
John Wesley Dobbs,Public Art Program,0.5,24e3,2015-03-01,2015-03-01,2017-06-01,http://renewatlantabond.com/project/john-wesley-dobbs/,FALSE,In Process
Johnson Road Pedestrian Improvements,ADA and Sidewalks,,3e5,2017-02-01,2018-06-01,2019-03-01,http://renewatlantabond.com/project/johnson-road-2/,FALSE,Not Started
"Johnson Road, Phase 2",Roadways,,49155.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/johnson-road-phase-2/,FALSE,Not Started
"Johnson Road, Phase 1",Roadways,,437030.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/johnson-road/,FALSE,Not Started
Jonesboro Road @ Claire Drive & Sawtell Avenue,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/jonesboro-road-claire-drive-sawtell-avenue-2/,FALSE,In Process
Joseph E. Boone Boulevard (TCC),Traffic Signals,,2025972.0,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/joseph-e-boone-2/,FALSE,Not Started
Joseph E. Lowery Boulevard (TCC),Traffic Signals,,584415.0,2015-08-01,2017-07-01,2018-07-01,http://renewatlantabond.com/project/joseph-e-lowery-2/,FALSE,Not Started
Joseph E. Lowery Boulevard Complete Street Project,Complete Streets,,1284454.0,2016-02-01,2018-04-01,2018-12-01,http://renewatlantabond.com/project/joseph-e-lowery-boulevard-2/,FALSE,Not Started
Joseph E. Lowery Boulevard,Roadways,,,,,,http://renewatlantabond.com/project/joseph-e-lowery-boulevard/,TRUE,Not Started
Juniper Street,Roadways,,,,,,http://renewatlantabond.com/project/juniper-street/,TRUE,Not Started
Kimberly Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/kimberly-elementary-school/,FALSE,Completed
Kings Smith Road,Roadways,,37450.0,2016-07-01,2017-10-01,2018-01-01,http://renewatlantabond.com/project/kings-smith-road/,FALSE,Not Started
Kipp Ways Academy,School Zone Beacons,1.0,22585.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/kipp-atlanta-collegiate/,FALSE,Completed
Kipp Strive Primary School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/kipp-strive-primary-school/,FALSE,Completed
Krog Street,Roadways,,,,,,http://renewatlantabond.com/project/krog-street/,TRUE,Not Started
La Famillia de Pie,,,,,,,http://renewatlantabond.com/project/la-famillia-de-pie/,TRUE,Not Started
La Salle Way,Roadways,1.0,34670.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/la-salle-way/,FALSE,Completed
Lake Avenue,Roadways,1.0,215605.0,2016-03-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/lake-avenue/,FALSE,Completed
Lake Claire Park,Parks and Recreation,,466585.0,2016-04-01,2016-04-01,2017-09-01,http://renewatlantabond.com/project/lake-claire-park/,FALSE,Not Started
Lakeview Dr,Roadways,,195220.0,2016-07-01,2016-07-01,2017-11-01,http://renewatlantabond.com/project/lakeview-dr/,FALSE,Not Started
Lakewood Avenue @ Claire Drive,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/lakewood-avenue-claire-drive-2/,FALSE,In Process
Lakewood Avenue @ Fleet Street & Georgia 166 Ramps,Traffic Signals,0.02,2e5,2016-04-01,2017-12-01,2018-11-01,http://renewatlantabond.com/project/lakewood-avenue-fleet-street-georgia-166-ramps-2/,FALSE,In Process
Lakewood Avenue @ Macon Drive & Lakewood Way,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2018-11-01,http://renewatlantabond.com/project/lakewood-avenue-macon-drive-lakewood-way-2/,FALSE,In Process
Lakewood Avenue @ Sylvan Road,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/lakewood-avenue-sylvan-road-2/,FALSE,In Process
Lakewood Avenue,Roadways,,841480.0,2016-05-01,2017-05-01,2017-06-01,http://renewatlantabond.com/project/lakewood-avenue/,FALSE,Not Started
Lakewood Way,Roadways,,461525.0,2016-05-01,2017-05-01,2017-06-01,http://renewatlantabond.com/project/lakewood-way/,FALSE,Not Started
Landrum Drive,Roadways,0.98,92330.0,2016-04-01,2016-05-01,2017-02-01,http://renewatlantabond.com/project/landrum-drive/,FALSE,In Process
Lang Carson Recreation Center,Parks and Recreation,,244234.0,2016-09-01,2016-09-01,2018-06-01,http://renewatlantabond.com/project/lang-carson-rec-center/,FALSE,Not Started
Langston Avenue,Roadways,0.99,251470.0,2015-10-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/langston-avenue/,FALSE,In Process
Larchwood Street,Roadways,1.0,78835.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/larchwood-street/,FALSE,Completed
Lawton Street,Roadways,,415360.0,2016-04-01,2017-12-01,2018-02-01,http://renewatlantabond.com/project/lawton-street/,FALSE,Not Started
Lee Circle,Roadways,,8e5,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/lee-circle/,FALSE,Not Started
Lee Street @ White Oak Avenue,Traffic Signals,0.02,2e5,2016-04-01,2017-12-01,2018-11-01,http://renewatlantabond.com/project/lee-street-white-oak-avenue-2/,FALSE,In Process
Legends,Public Art Program,,1e4,2015-03-01,2017-03-01,2017-06-01,http://renewatlantabond.com/project/legends/,FALSE,Not Started
"Lenox Road, Phase 2",Roadways,,1445295.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/lenox-road-2/,FALSE,Not Started
Lenox Road Pedestrian Improvements,ADA and Sidewalks,,3e5,2017-02-01,2018-06-01,2019-03-01,http://renewatlantabond.com/project/lenox-road-3/,FALSE,Not Started
"Lenox Road, Phase 1",Roadways,,748475.0,2016-04-01,2018-01-01,2018-06-01,http://renewatlantabond.com/project/lenox-road/,FALSE,Not Started
Lenox Wildwood Park,Parks and Recreation,,,,,,http://renewatlantabond.com/project/lenox-wildwood/,TRUE,Not Started
Mary Lin Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/lin-elementary-school/,FALSE,Completed
"Lindbergh Way, Phase 2",Roadways,,170565.0,2016-05-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/lindbergh-way-2/,FALSE,Not Started
"Lindbergh Way, Phase 1",Roadways,,166885.0,2016-05-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/lindbergh-way/,FALSE,Not Started
Linden Avenue,Roadways,,260180.0,2016-05-01,2017-04-01,2017-06-01,http://renewatlantabond.com/project/linden-avenue/,FALSE,Not Started
Litherland Court,Roadways,0.98,21960.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/litherland-court/,FALSE,In Process
Little Hampton Court,Roadways,0.98,52095.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/little-hampton-court/,FALSE,In Process
Long Middle School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/long-middle-school/,FALSE,Completed
Loridans Drive,Roadways,,396480.0,2016-05-01,2016-11-01,2017-02-01,http://renewatlantabond.com/project/loridans-drive/,FALSE,Not Started
Luckie Street @ Pine Street,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/luckie-street-pine-street-2/,FALSE,In Process
Lyndale Drive,Roadways,,85e4,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/lyndale-drive/,FALSE,Not Started
Lynhurst Drive,Roadways,,532100.0,2015-06-01,2017-03-01,2017-04-01,http://renewatlantabond.com/project/lynhurst-drive/,FALSE,Not Started
Martin Luther King Jr. Drive (TCC),Traffic Signals,,,,,,http://renewatlantabond.com/project/m-l-king-jr-dr-2/,TRUE,Not Started
Macon Drive,Roadways,0.9500000000000001,369235.0,2016-05-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/macon-drive-2/,FALSE,In Process
Macon Drive @ Old Hapeville Road & Bromack Drive,Traffic Signals,0.02,19e4,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/macon-drive-old-hapeville-road-bromack-drive-2/,FALSE,In Process
Main Street,Roadways,,121e3,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/main-street-roadway-construction/,FALSE,Not Started
Margaret Mitchell Drive,Roadways,,716370.0,2016-07-01,2017-08-01,2017-11-01,http://renewatlantabond.com/project/margaret-mitchell-drive-2/,FALSE,Not Started
Margaret Mitchell Square,,,,,,,http://renewatlantabond.com/project/margaret-mitchell-square/,TRUE,Not Started
Marietta Boulevard (TCC),Traffic Signals,,1402596.0,2016-03-01,2017-08-01,2018-07-01,http://renewatlantabond.com/project/marietta-blvd-2/,FALSE,Not Started
Marietta Boulevard @ Chattahoochee Avenue,Traffic Signals,1.0,87760.0,2015-09-01,2015-10-01,2016-04-01,http://renewatlantabond.com/project/marietta-boulevard-chattahoochee-avenue/,FALSE,Completed
Marietta Boulevard @ Coronet Way,Traffic Signals,0.12,87760.0,2016-02-01,2017-08-01,2018-07-01,http://renewatlantabond.com/project/marietta-boulevard-coronet-way/,FALSE,In Process
Marietta Road @ Perry Boulevard & Johnson Road,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/marietta-road-perry-boulevard-johnson-road-2/,FALSE,In Process
Marietta Street @ Andrew Young International Boulevard,Traffic Signals,0.02,18e4,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/marietta-street-andrew-young-international-boulevard-2/,FALSE,In Process
Marietta Street @ Foundry Street,Traffic Signals,0.02,18e4,2016-06-01,2017-10-01,2018-10-01,http://renewatlantabond.com/project/marietta-street-foundry-street-2/,FALSE,In Process
Marietta Street,Roadways,,1546210.0,2016-04-01,2018-02-01,2018-06-01,http://renewatlantabond.com/project/marietta-street/,FALSE,Not Started
Marion Avenue,Roadways,,200885.0,2016-07-01,2017-06-01,2017-09-01,http://renewatlantabond.com/project/marion-avenue/,FALSE,Not Started
Marktwo Place,Roadways,,485e3,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/marktwo-place-roadway-construction/,FALSE,Not Started
Martin Luther King Jr. Drive @ I-285 N/B Ramp,Traffic Signals,,,,,,http://renewatlantabond.com/project/martin-l-king-jr-drive-i-285-nb-ramp-2/,TRUE,Not Started
Martin Luther King Jr. Drive @ Peachtree Street,Traffic Signals,,,,,,http://renewatlantabond.com/project/martin-l-king-jr-drive-peachtree-street-2/,TRUE,Not Started
Martin Luther King Jr. Drive @ Pryor Street,Traffic Signals,,,,,,http://renewatlantabond.com/project/martin-l-king-jr-drive-pryor-street-2/,TRUE,Not Started
Martin Luther King Jr. Drive Bridge,Bridges,,53407933.0,2016-11-01,2019-11-01,2021-12-01,http://renewatlantabond.com/project/martin-l-king-jr-drive/,FALSE,Not Started
Martin Luther King Jr. Middle School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/martin-luther-king-jr-middle-school/,FALSE,Completed
Mays Crossing,Roadways,1.0,68735.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/mays-crossing/,FALSE,Completed
Mayson Street,Roadways,,149795.0,2014-05-01,2017-04-01,2017-05-01,http://renewatlantabond.com/project/mayson-street/,FALSE,Not Started
McAfee Street,Roadways,,30175.0,2016-07-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/mcafee-street/,FALSE,Not Started
McClatchy Park,Parks and Recreation,,,,,,http://renewatlantabond.com/project/mcclatchy-park/,TRUE,Not Started
McDaniel Street (TCC),Traffic Signals,,930172.0,2016-04-01,2017-10-01,2018-10-01,http://renewatlantabond.com/project/mcdaniel-street-2/,FALSE,Not Started
McDaniel Street @ Peters Street,Traffic Signals,,,,,,http://renewatlantabond.com/project/mcdaniel-street-peters-street-2/,TRUE,Not Started
Meeting of the Elders,,,,,,,http://renewatlantabond.com/project/meeting-of-the-elders/,TRUE,Not Started
Memorial,Public Art Program,,75e3,2015-03-01,2015-03-01,2017-08-01,http://renewatlantabond.com/project/memorial-carpets-panels-and-books/,FALSE,Not Started
Memorial Drive @ Maynard Terrace & Wyman Street,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2017-10-01,http://renewatlantabond.com/project/memorial-drive-maynard-terrace-wyman-street-2/,FALSE,In Process
Metropolitan Parkway,Roadways,,2565845.0,2016-07-01,2017-06-01,2017-09-01,http://renewatlantabond.com/project/metropolitan-parkway/,FALSE,Not Started
Midtown Neighborhood Improvements,Roadways,,5e5,2017-02-01,2017-09-01,2018-04-01,http://renewatlantabond.com/project/midtown-neighborhood-improvements/,FALSE,Not Started
Miles Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/miles-elementary-school/,FALSE,Completed
Mims Street,Roadways,,383605.0,2016-07-01,2017-07-01,2017-10-01,http://renewatlantabond.com/project/mims-street/,FALSE,Not Started
Martin Luther King Jr. Drive,Complete Streets,,2385150.0,2016-07-01,2018-02-01,2018-04-01,http://renewatlantabond.com/project/ml-king-jr-drive/,FALSE,Not Started
Martin Luther King Jr. Natatorium,Parks and Recreation,0.08,17e6,2015-06-01,2016-07-01,2017-12-01,http://renewatlantabond.com/project/mlk-jr-natatorium/,FALSE,In Process
Monroe Drive @ Amsterdam Avenue,Traffic Signals,0.02,2e5,2016-05-01,2018-04-01,2018-11-01,http://renewatlantabond.com/project/monroe-drive-amsterdam-avenue-2/,FALSE,In Process
Monroe Drive @ Armour Drive,Traffic Signals,0.02,2e5,2016-05-01,2018-04-01,2018-11-01,http://renewatlantabond.com/project/monroe-drive-armour-drive-2/,FALSE,In Process
Monroe Drive @ Buford Highway N/B Ramps,Traffic Signals,0.02,2e5,2016-05-01,2018-04-01,2018-11-01,http://renewatlantabond.com/project/monroe-drive-buford-highway-nb-ramps-2/,FALSE,In Process
