project_name,project_type,pct_complete,project_budget,project_start,construction_start,project_completion,project_page,project_budget_error_flag,project_status
Fire Station 29,Public Safety,0.06,282328.0,2015-09-01,2016-03-01,2017-10-01,http://renewatlantabond.com/project/ada-upgrades-plumbing-repairs-and-hvac-controls/,FALSE,In Process
Adams Park,,,,,,,http://renewatlantabond.com/project/adams-park/,TRUE,Not Started
Adamsville Recreation Center,Parks and Recreation,,,,,,http://renewatlantabond.com/project/adamsville-rec-center/,TRUE,Not Started
Alonzo Crim High School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/alonzo-crim-high-school-burgess%e2%80%90-peterson-academy/,FALSE,Completed
Alston Drive @ Candler Road,Traffic Signals,0.02,2e5,2016-04-01,2017-12-01,2018-12-01,http://renewatlantabond.com/project/alston-drive-candler-road-2/,FALSE,In Process
Alvarado Terrace,Roadways,1.0,41585.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/alvarado-terrace/,FALSE,Completed
Anchored Sail,,,,,,,http://renewatlantabond.com/project/anchored-sail/,TRUE,Not Started
Andrew Young Tribute Plaza,Public Art Program,,77e3,2015-03-01,2015-03-01,2017-07-01,http://renewatlantabond.com/project/andrew-young-tribute-plaza/,FALSE,Not Started
Architect For the Future,,,,,,,http://renewatlantabond.com/project/architect-for-the-future/,TRUE,Not Started
Ardley Road,Roadways,1.0,41865.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/ardley-road/,FALSE,Completed
Ardwick Court,Roadways,0.98,16340.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/ardwick-court/,FALSE,In Process
Atlanta Avenue (TCC),Traffic Signals,,525974.0,2016-04-01,2017-12-01,2018-12-01,http://renewatlantabond.com/project/atlanta-avenue-tcc/,FALSE,Not Started
Atlanta Classical Academy,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/atlanta-classical-academy/,FALSE,Completed
Atlanta From the Ashes,,,,,,,http://renewatlantabond.com/project/atlanta-from-the-ashes/,TRUE,Not Started
Auburn Historical Plaques,,,,,,,http://renewatlantabond.com/project/auburn-historical-plaques/,TRUE,Not Started
Aurora Avenue,Roadways,,141750.0,2016-07-01,2017-07-01,2017-11-01,http://renewatlantabond.com/project/aurora-avenue/,FALSE,Not Started
Avon Avenue @ Westmont Road & Orlando Street,Traffic Signals,0.02,2e5,2016-04-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/avon-avenue-westmont-road-orlando-street-2/,FALSE,In Process
Avon Avenue,Roadways,0.9500000000000001,372230.0,2015-10-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/avon-avenue/,FALSE,In Process
Avondale Avenue,Roadways,,300460.0,2016-07-01,2017-05-01,2017-08-01,http://renewatlantabond.com/project/avondale-avenue/,FALSE,Not Started
AWDA Repairs/Upgrades,Public Buildings,0.48,13e5,2015-10-01,2015-10-01,2017-04-01,http://renewatlantabond.com/project/awda-repairsupgrade/,FALSE,In Process
Ayr Street,Roadways,,405e3,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/ayr-street/,FALSE,Not Started
Bagwell Drive,Roadways,,353400.0,2016-07-01,2017-09-01,2017-12-01,http://renewatlantabond.com/project/bagwell-drive/,FALSE,Not Started
Baker/Highland Connector,Roadways,0.07,178500.0,2015-07-01,2017-11-01,2018-02-01,http://renewatlantabond.com/project/bakerhighland-connector/,FALSE,In Process
Bankhead Avenue,Roadways,,,,,,http://renewatlantabond.com/project/bankhead-avenue-2/,TRUE,Not Started
Bankhead Avenue Bridge,Bridges,,1121400.0,2018-01-01,2018-11-01,2019-12-01,http://renewatlantabond.com/project/bankhead-avenue/,FALSE,Not Started
Barnett Street @ Saint Charles Place,Traffic Signals,0.02,2e5,2016-06-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/barnett-street-saint-charles-place-2/,FALSE,In Process
Barnett Street,Roadways,,306450.0,2016-05-01,2017-01-01,2017-03-01,http://renewatlantabond.com/project/barnett-street/,FALSE,Not Started
Beecher Street,Roadways,,467905.0,2016-07-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/beecher-street/,FALSE,Not Started
William Walker Recreation Center (Formerly Ben Hill Recreation Center),Parks and Recreation,,403e3,2016-06-01,2016-06-01,2018-06-01,http://renewatlantabond.com/project/ben-hill-recreation-center/,FALSE,Not Started
Beaver Falls Place,Roadways,,47700.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/bent-creek-way/,FALSE,Not Started
Berne Street,Roadways,0.9500000000000001,301070.0,2015-10-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/berne-street/,FALSE,In Process
Bethany Forest Drive,Roadways,,54180.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/bethany-forest-drive/,FALSE,Not Started
Beverly Road,Roadways,,,,,,http://renewatlantabond.com/project/beverly-road/,TRUE,Not Started
Bicknell Street,Roadways,,123310.0,2016-07-01,2017-10-01,2017-12-01,http://renewatlantabond.com/project/bicknell-street/,FALSE,Not Started
Birth of Atlanta,Public Art Program,0.5,1e5,2015-03-01,2016-05-01,2017-08-01,http://renewatlantabond.com/project/birth-of-atlanta/,FALSE,In Process
Bohler Road,Roadways,1.0,265075.0,2016-03-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/bohler-road/,FALSE,Completed
Bolton Academy Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/bolton-elementary-school/,FALSE,Completed
Booker T. Washington Lifting The Veil of Ignorance,Public Art Program,1.0,4e4,2015-03-01,2016-06-01,2016-12-01,http://renewatlantabond.com/project/booker-t-washington-lifting-the-veil-of-ignorance/,FALSE,Completed
Boulevard (TCC),Traffic Signals,,,,,,http://renewatlantabond.com/project/boulevard-tcc/,TRUE,Not Started
Braeburn Circle,Roadways,,75e4,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/braeburn-circle/,FALSE,Not Started
"Brave Service, Rescue Monument",,,,,,,http://renewatlantabond.com/project/brave-service-rescue-monument/,TRUE,Not Started
Brookline Street,Roadways,,189500.0,2016-07-01,2017-09-01,2017-11-01,http://renewatlantabond.com/project/brookline-street/,FALSE,Not Started
Brownlee Place,Roadways,1.0,25245.0,2015-06-01,2015-08-01,2016-12-01,http://renewatlantabond.com/project/brownlee-place/,FALSE,Completed
Brownlee Road,Roadways,0.9500000000000001,102375.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/brownlee-road-3/,FALSE,In Process
Browntown Rd,Roadways,,540745.0,2016-07-01,2017-11-01,2018-02-01,http://renewatlantabond.com/project/browntown-rd/,FALSE,Not Started
Bulwarks ll,,,,,,,http://renewatlantabond.com/project/bulwarks-ll/,TRUE,Not Started
Bunche Middle School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/bunche-middle-school/,FALSE,Completed
Burgess‐Peterson Academy,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/burgess%e2%80%90peterson-academy/,FALSE,Completed
Burton Road,Roadways,1.0,120145.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/burton-road/,FALSE,Completed
Campbellton Road (TCC),Traffic Signals,,2532465.0,2015-10-01,2017-11-01,2018-11-01,http://renewatlantabond.com/project/campbellton-road-2/,FALSE,Not Started
